45510,i got this as a sample in an order
45595,i got a giant whopping sample of this from sephora that's lasted ages
45945,i got a sample first at my local sephora
45962,i ran out of the sample
46121,i got samples of this in vanilla
47011,i got a sample first at my local sephora
47028,i ran out of the sample
47403,i received a sample of this from a previous order
47595,i see a variety of mixed reviews on this product
47606,i received a sample of this
47781,i tried a sample purchased with my beauty insider points
47833,i received this as one of my sample choices from a previous purchase
47902,i continued to use the bare mineral sample for about 2 weeks
47926,i received this as one of my sample choices from a previous purchase
48001,i received a sample of this from a previous order
48185,i received a sample of this
48956,i received a sample jar of this
48969,i got a deluxe sample size of this in the play iconic box
49036,i got a sample in the iconic play box.
49045,i got this as a deluxe sample
49073,sephora sent me a deluxe sample of this with my order
49086,i got this as a sample
49095,i wanted so bad to love this when i got the deluxe sample
49112,i got some deluxe samples of this
49168,when i tried the sample of this cream
49178,once a few years ago i got a deluxe sample from la mer directly
49499,i picked this up first as a sample
49552,i got a sample of it to test it out
50622,i asked for a sample at sephora
50735,i just got a sample of this to try
50820,disclaimer: i did receive the product for free
50999,wish i had got a sample first
51212,i sampled this along with the toner
51216,go sample this product.
51235,i received a sample from a lovely employee in-store
51363,i got a sample of this gem
51384,then i took a sample or three home with me
51645,i got a sample of this after seeing sunday riley's facebook live demo
51899,after finding this product i decided to get a sample to try it
52070,because of the price i wanted to sample it first
52191,i got a sample from sephora girl
52285,i got a sample of this product
52436,i went for a sample first
52654,since receiving a sample i have bought this oil
52725,i would suggest just getting a sample from the store
52734,i got a sample from the store
53223,i received a sample of this product from my sephora
53247,i picked up a sample of this along with the martian toner
53285,i got a sample of this
53557,i got a sample yesterday
53612,i went to sephora to get a sample
53656,i picked up a sample from sephora
54018,i got a sample of this at my local sephora.
54027,going to finish the sample
54062,i got a sample of this before buying
54103,"i found this at sephora, and got a sample to try."
54127,the employee gave me a sample
54211,i tried the sample
54215,after i was finished my sample i went to the nearest sephora
54355,got a sample to try it
54417,i got a sample first because i'm sensitive
54435,i ran out of the sample
54637,i recommend trying a sample!
54667,i got a sample of this before splurging
54703,quickly got a sample from sephora
54754,"so, i got a sample from my local sephora."
54786,i got a sample of this in store after seeing great reviews online
55291,i got a sample of the luna oil as well
55300,i suggest that you seek out a sample
55424,i tried the sample for a week
55500,gave me a free sample
55619,i tried a sample of this
55855,when i opened the sample
56027,a sephora employee gave me a sample
57018,i took home a sample for the meantime
57263,i took home a sample that lasted 2 weeks.
57788,i stopped into a store to pick up a sample
57985,i first tried it as a sample
58269,i got this as a sample in store for the amount of redness i have
58382,i got a sample of this after having a makeover
58387,one of those tiny sample containers lasted me
58439,ive been using a sample for the last week
58667,i recently recieved a sample of the cicapair- tiger grass color correcting treatment spf 30
58689,stopped in to sephora for a sample
58777,just used the sample
59002,i got a sample of this in store
59004,i received a sample of this from the store
59184,i recommend getting a sample if possible.
59246,i got a sample of it three days ago
